id,name,city,neighborhood,street,street_number,sport_type,is_free,phone,email,description,latitude,longitude,features,photo_urls,rating
689975e089e4a77c498de775,מתחם הספורט הרצליה,הרצליה,,,,כדורסל,false,,,מתחם ספורט מודרני עם מגרש כדורסל איכותי,32.1624,34.8441,תאורה;חניה;מזנון,https://images.unsplash.com/photo-1546519638-68e109498ffc?w=600&h=400&fit=crop&crop=center,4.8
689975e089e4a77c498de774,מגרש כדורגל גן העיר,תל אביב,,,,כדורגל,true,,,מגרש כדורגל מעולה במרכז תל אביב עם תאורה ומקלחות,32.0853,34.7818,תאורה;מקלחות;חניה,https://images.unsplash.com/photo-1574629810360-7efbbe195018?w=600&h=400&fit=crop&crop=center,4.5
689975e089e4a77c498de776,מגרש טניס פארק הירקון,תל אביב,,,,טניס,true,,,מגרש טניס ציבורי בפארק הירקון,32.1133,34.8072,צל;חניה,https://images.unsplash.com/photo-1544947950-fa07a98d237f?w=600&h=400&fit=crop&crop=center,4.2
689975e089e4a77c498de779,מתחם טניס באר שבע,באר שבע,,,,טניס,false,,,מתחם טניס מקצועי בבאר שבע,31.2518,34.7915,תאורה;מקלחות;חניה;מזנון,https://images.unsplash.com/photo-1544947950-fa07a98d237f?w=600&h=400&fit=crop&crop=center,4.7
689975e089e4a77c498de777,מרכז הספורט ירושלים,ירושלים,,,,כדורגל,false,,,מרכז ספורט מתקדם בירושלים,31.7683,35.2137,תאורה;מקלחות;שירותים;מזנון,https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=600&h=400&fit=crop&crop=center,4.6
689975e089e4a77c498de778,מגרש כדורסל חיפה,חיפה,,,,כדורסל,true,,,מגרש כדורסל ציבורי בחיפה עם נוף לים,32.794,34.9896,תאורה;חניה,https://images.unsplash.com/photo-1546519638-68e109498ffc?w=600&h=400&fit=crop&crop=center,4.3
689b00d1bfcd92ee2287a21b,מגרש כדורגל גן העיר,תל אביב,לב תל אביב,אבן גבירול,45,כדורגל,true,03-5216666,ganhair@tel-aviv.gov.il,מגרש כדורגל מעולה במרכז תל אביב עם תאורה ומקלחות,32.0809,34.7806,תאורה;מקלחות;חניה,https://images.unsplash.com/photo-1574629810360-7efbbe195018?w=600&h=400&fit=crop&crop=center,4.5
689b00d1bfcd92ee2287a21f,מגרש כדורסל בת גלים,חיפה,בת גלים,שדרות בת גלים,88,כדורסל,true,04-8542222,sport@haifa.muni.il,מגרש כדורסל ציבורי בחיפה עם נוף לים,32.8315,34.9814,תאורה;חניה,https://images.unsplash.com/photo-1546519638-68e109498ffc?w=600&h=400&fit=crop&crop=center,4.3
689b00d1bfcd92ee2287a21e,מרכז הספורט גן סאקר,ירושלים,נחלאות,שדרות יצחק רבין,1,כדורגל,true,02-6296333,sacher@jerusalem.muni.il,מגרש דשא סינטטי רחב ידיים בגן סאקר המרכזי.,31.7825,35.2073,תאורה;שירותים;חניה,https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=600&h=400&fit=crop&crop=center,4.6
689b00d1bfcd92ee2287a21d,מגרש טניס פארק הירקון,תל אביב,פארק הירקון,שדרות רוקח,100,טניס,true,03-6422888,park@tel-aviv.gov.il,מגרש טניס ציבורי בפארק הירקון,32.1055,34.8028,צל;חניה,https://images.unsplash.com/photo-1544947950-fa07a98d237f?w=600&h=400&fit=crop&crop=center,4.2
